0.00  1.160  1.113  0.462  0.462  0.718
0.01  1.133  1.052  0.447  0.447  0.693
0.02  1.090  0.992  0.431  0.431  0.668
0.03  1.069  0.962  0.412  0.412  0.644
0.04  0.987  0.896  0.393  0.393  0.620
0.05  0.956  0.835  0.377  0.377  0.597
0.06  0.873  0.804  0.359  0.359  0.573
0.07  0.839  0.751  0.338  0.338  0.550
0.08  0.785  0.697  0.319  0.319  0.528
0.09  0.759  0.656  0.304  0.304  0.505
0.10  0.728  0.599  0.284  0.284  0.483
0.11  0.661  0.524  0.259  0.259  0.461
0.12  0.636  0.440  0.228  0.228  0.440
0.13  0.577  0.346  0.205  0.205  0.419
0.14  0.542  0.283  0.197  0.197  0.398
0.15  0.535  0.239  0.211  0.211  0.377
0.16  0.544  0.229  0.249  0.249  0.356
0.17  0.576  0.252  0.298  0.298  0.336
0.18  0.629  0.294  0.336  0.336  0.316
0.19  0.687  0.364  0.359  0.359  0.296
0.20  0.750  0.432  0.357  0.357  0.277
0.21  0.800  0.479  0.337  0.337  0.258
0.22  0.800  0.501  0.299  0.299  0.238
0.23  0.739  0.478  0.251  0.251  0.220
0.24  0.668  0.416  0.200  0.200  0.201
0.25  0.595  0.334  0.157  0.157  0.183
0.26  0.518  0.248  0.127  0.127  0.164
0.27  0.467  0.174  0.110  0.110  0.146
0.28  0.428  0.117  0.102  0.102  0.129
0.29  0.408  0.073  0.096  0.096  0.111
0.30  0.418  0.044  0.091  0.091  0.094
0.31  0.407  0.025  0.086  0.086  0.077
0.32  0.398  0.013  0.079  0.079  0.060
0.33  0.393 -0.003  0.073  0.073  0.043
0.34  0.377 -0.018  0.067  0.067  0.026
0.35  0.353 -0.029  0.059  0.059  0.010
0.36  0.322 -0.043  0.052  0.052 -0.006
0.37  0.285 -0.060  0.045  0.045 -0.022
0.38  0.250 -0.077  0.037  0.037 -0.038
0.39  0.216 -0.088  0.027  0.027 -0.054
0.40  0.185 -0.101  0.014  0.014 -0.069
0.41  0.153 -0.115 -0.004 -0.004 -0.084
0.42  0.121 -0.124 -0.029 -0.029 -0.100
0.43  0.085 -0.134 -0.064 -0.064 -0.114
0.44  0.047 -0.143 -0.114 -0.114 -0.129
0.45 -0.000 -0.160 -0.181 -0.181 -0.144
0.46 -0.048 -0.183 -0.268 -0.268 -0.158
0.47 -0.101 -0.209 -0.368 -0.368 -0.173
0.48 -0.156 -0.237 -0.472 -0.472 -0.187
0.49 -0.214 -0.265 -0.566 -0.566 -0.201
0.50 -0.275 -0.290 -0.637 -0.637 -0.215
0.51 -0.334 -0.312 -0.682 -0.682 -0.228
0.52 -0.391 -0.329 -0.695 -0.695 -0.242
0.53 -0.442 -0.340 -0.676 -0.676 -0.255
0.54 -0.485 -0.341 -0.630 -0.630 -0.268
0.55 -0.509 -0.330 -0.569 -0.569 -0.282
0.56 -0.513 -0.309 -0.501 -0.501 -0.294
0.57 -0.496 -0.282 -0.425 -0.425 -0.307
0.58 -0.460 -0.252 -0.347 -0.347 -0.320
0.59 -0.409 -0.228 -0.278 -0.278 -0.332
0.60 -0.348 -0.213 -0.221 -0.221 -0.345
0.61 -0.288 -0.211 -0.179 -0.179 -0.357
0.62 -0.242 -0.221 -0.157 -0.157 -0.369
0.63 -0.220 -0.239 -0.151 -0.151 -0.381
0.64 -0.226 -0.263 -0.150 -0.150 -0.393
0.65 -0.256 -0.295 -0.149 -0.149 -0.405
0.66 -0.306 -0.331 -0.147 -0.147 -0.416
0.67 -0.369 -0.368 -0.145 -0.145 -0.428
0.68 -0.436 -0.399 -0.143 -0.143 -0.439
0.69 -0.498 -0.420 -0.142 -0.142 -0.450
0.70 -0.553 -0.434 -0.143 -0.143 -0.462
0.71 -0.599 -0.439 -0.146 -0.146 -0.473
0.72 -0.636 -0.435 -0.151 -0.151 -0.483
0.73 -0.666 -0.429 -0.159 -0.159 -0.494
0.74 -0.685 -0.426 -0.168 -0.168 -0.505
0.75 -0.693 -0.427 -0.180 -0.180 -0.515
0.76 -0.690 -0.432 -0.195 -0.195 -0.526
0.77 -0.683 -0.440 -0.212 -0.212 -0.536
0.78 -0.671 -0.452 -0.232 -0.232 -0.546
0.79 -0.653 -0.468 -0.257 -0.257 -0.556
0.80 -0.630 -0.486 -0.285 -0.285 -0.566
0.81 -0.608 -0.506 -0.317 -0.317 -0.576
0.82 -0.587 -0.527 -0.352 -0.352 -0.586
0.83 -0.571 -0.549 -0.390 -0.390 -0.596
0.84 -0.560 -0.569 -0.429 -0.429 -0.605
0.85 -0.553 -0.585 -0.468 -0.468 -0.615
0.86 -0.557 -0.596 -0.503 -0.503 -0.624
0.87 -0.569 -0.603 -0.535 -0.535 -0.633
0.88 -0.590 -0.602 -0.560 -0.560 -0.642
0.89 -0.616 -0.594 -0.577 -0.577 -0.651
0.90 -0.644 -0.577 -0.588 -0.588 -0.660
0.91 -0.669 -0.551 -0.593 -0.593 -0.669
0.92 -0.685 -0.520 -0.592 -0.592 -0.678
0.93 -0.692 -0.486 -0.587 -0.587 -0.686
0.94 -0.690 -0.447 -0.580 -0.580 -0.695
0.95 -0.676 -0.399 -0.571 -0.571 -0.703
0.96 -0.656 -0.348 -0.563 -0.563 -0.712
0.97 -0.632 -0.299 -0.559 -0.559 -0.720
0.98 -0.602 -0.249 -0.557 -0.557 -0.728
0.99 -0.568 -0.201 -0.554 -0.554 -0.736
1.00 -0.532 -0.156 -0.550 -0.550 -0.744
1.01 -0.502 -0.113 -0.547 -0.547 -0.752
1.02 -0.475 -0.074 -0.544 -0.544 -0.760
1.03 -0.458 -0.038 -0.539 -0.539 -0.768
1.04 -0.452 -0.012 -0.533 -0.533 -0.776
1.05 -0.456  0.002 -0.526 -0.526 -0.783
1.06 -0.472  0.012 -0.517 -0.517 -0.791
1.07 -0.501  0.006 -0.508 -0.508 -0.798
1.08 -0.540 -0.022 -0.501 -0.501 -0.805
1.09 -0.590 -0.061 -0.499 -0.499 -0.813
1.10 -0.647 -0.110 -0.506 -0.506 -0.820
1.11 -0.708 -0.170 -0.519 -0.519 -0.827
1.12 -0.772 -0.233 -0.535 -0.535 -0.834
1.13 -0.836 -0.296 -0.552 -0.552 -0.841
1.14 -0.895 -0.354 -0.568 -0.568 -0.848
1.15 -0.950 -0.405 -0.582 -0.582 -0.854
1.16 -0.998 -0.447 -0.592 -0.592 -0.861
1.17 -1.033 -0.480 -0.598 -0.598 -0.868
1.18 -1.065 -0.502 -0.600 -0.600 -0.874
